0,0
-0.996521,0.0833439
-1.63457,0.853337
-2.17642,0.012862
-1.531,-0.750963
-0.537135,-0.861564
-0.318204,-1.8373
-1.31061,-1.71426
-2.26832,-1.42653
-1.98976,-2.38695
-2.97682,-2.22659
-3.60971,-3.00083
-2.62391,-3.16875
-3.13784,-4.02658
-2.14651,-4.15797
-1.66981,-3.27891
-0.770304,-2.842
-0.865564,-3.83745
-1.33127,-4.72239
-0.333243,-4.65954
-0.775587,-5.55639
0.223489,-5.59936
-0.326685,-6.43441
0.667353,-6.54345
1.05041,-7.46717
0.0582309,-7.34234
-0.938927,-7.26701
-1.48858,-8.1024
-0.489359,-8.14183
-1.03484,-8.97995
-2.03425,-8.9457
-1.57138,-9.83213
-1.17092,-10.7484
-2.16742,-10.6648
-2.59777,-9.7621
-3.15704,-10.5911
-4.14634,-10.4452
-3.75671,-11.3662
-4.74877,-11.2404
-4.35971,-12.1616
-3.36727,-12.2843
-2.75696,-11.4922
-2.3607,-12.4103
-1.75175,-11.6171
-1.34419,-12.5303
-1.01773,-13.4755
-1.99817,-13.2787
-2.99814,-13.2868
-3.97678,-13.0812
-4.62414,-13.8434
-3.642,-14.0315
-4.15777,-14.8882
-5.13839,-14.6923
-4.82421,-15.6417
-5.80861,-15.4657
